date,equity,cash
2020-01-07,350000.000000,350000.000000
2020-01-14,350000.000000,350000.000000
2020-01-21,350000.000000,350000.000000
2020-01-28,350000.000000,350000.000000
2020-02-04,350000.000000,350000.000000
2020-02-11,350000.000000,350000.000000
2020-02-18,350000.000000,350000.000000
2020-02-25,350000.000000,350000.000000
2020-03-03,350000.000000,350000.000000
2020-03-09,350000.000000,350000.000000
2020-03-16,350000.000000,350000.000000
2020-03-23,350000.000000,350000.000000
2020-03-30,350000.000000,350000.000000
2020-04-06,350000.000000,350000.000000
2020-04-13,350000.000000,350000.000000
2020-04-20,350000.000000,350000.000000
2020-04-27,350000.000000,350000.000000
2020-05-04,350000.000000,350000.000000
2020-05-11,350000.000000,350000.000000
2020-05-18,350000.000000,350000.000000
2020-05-25,350000.000000,350000.000000
2020-06-01,350000.000000,350000.000000
2020-06-08,350000.000000,350000.000000
2020-06-15,350000.000000,350000.000000
2020-06-22,350000.000000,350000.000000
2020-06-29,350000.000000,350000.000000
2020-07-06,350000.000000,350000.000000
2020-07-13,350000.000000,350000.000000
2020-07-20,350000.000000,350000.000000
2020-07-27,349914.293603,178501.500000
2020-08-03,355162.459520,178501.500000
2020-08-10,355641.440030,178501.500000
2020-08-17,356125.468016,178501.500000
2020-08-24,356609.496002,178501.500000
2020-08-31,357093.523988,178501.500000
2020-09-07,357577.551974,178501.500000
2020-09-14,358061.579960,173147.517450
2020-09-21,356794.122701,173147.517450
2020-09-28,357640.824729,173147.517450
2020-10-05,358473.138728,173147.517450
2020-10-12,368950.768628,173147.517450
2020-10-19,369777.261777,173147.517450
2020-10-26,370578.976622,173147.517450
2020-11-03,371277.836228,173147.517450
2020-11-10,371998.588717,173147.517450
2020-11-17,372690.633140,176078.556876
2020-11-24,370521.402301,181604.470767
2020-12-01,371024.160922,181604.470767
2020-12-08,371526.919542,175877.203767
2020-12-15,370163.180953,175877.203767
2020-12-22,379859.943255,175877.203767
2020-12-29,380781.073503,175877.203767
2021-01-05,381683.952269,175877.203767
2021-01-12,382564.963695,175877.203767
2021-01-19,383419.469252,175877.203767
2021-01-26,384241.418690,175877.203767
2021-02-02,385022.768730,175877.203767
2021-02-09,385752.588766,178605.459267
2021-02-16,383524.294692,178605.459267
2021-02-23,384639.503072,178605.459267
2021-03-02,394908.853204,178605.459267
2021-03-09,395983.406772,178605.459267
2021-03-15,397108.015575,178605.459267
2021-03-22,398160.657142,178605.459267
2021-03-29,399168.386807,178605.459267
2021-04-05,400120.363768,178605.459267
2021-04-12,401006.940445,178605.459267
2021-04-19,401802.880790,187647.647352
2021-04-26,400279.352501,187647.647352
2021-05-03,401276.625594,187647.647352
2021-05-10,408609.662573,187647.647352
2021-05-17,409592.612516,187647.647352
2021-05-24,410551.271980,187647.647352
2021-05-31,411480.488440,187647.647352
2021-06-07,412373.541209,187647.647352
2021-06-14,413221.495728,187647.647352
2021-06-21,414012.210163,189166.842852
2021-06-28,411682.525783,189166.842852
2021-07-05,412880.960026,189166.842852
2021-07-12,414055.581146,189166.842852
2021-07-19,418442.861247,189166.842852
2021-07-26,419555.410791,189166.842852
2021-08-02,420626.950634,189166.842852
2021-08-09,421653.107369,189166.842852
2021-08-16,422623.465480,189166.842852
2021-08-23,423543.144187,194413.000982
2021-08-30,422028.186453,194413.000982
2021-09-06,423077.218579,194413.000982
2021-09-13,424117.437011,194413.000982
2021-09-20,425136.963264,194413.000982
2021-09-27,428176.786899,194413.000982
2021-10-04,429141.471185,194413.000982
2021-10-11,430069.245750,194413.000982
2021-10-18,430973.039198,194413.000982
2021-10-25,431818.411739,194354.290444
2021-11-01,429730.511839,199931.221484
2021-11-09,430347.793198,199931.221484
2021-11-16,430965.074558,193165.928684
2021-11-23,429367.069374,193165.928684
2021-11-30,430445.503548,193165.928684
2021-12-07,431514.392690,193165.928684
2021-12-14,432561.722402,193165.928684
2021-12-21,433605.268951,193165.928684
2021-12-28,434617.505635,193165.928684
2022-01-04,435591.285637,193165.928684
2022-01-11,436517.107894,193165.928684
2022-01-18,437382.060706,192899.126767
2022-01-25,435474.700492,192899.126767
2022-02-01,436634.721920,192899.126767
2022-02-08,437773.868113,192899.126767
2022-02-15,428003.867279,343287.968405
2022-02-22,428213.884500,360111.601213
2022-03-01,428375.635956,369770.341795
2022-03-08,428518.415953,373732.091932
2022-03-14,428657.721631,374728.969873
2022-03-21,428702.794958,275771.349752
2022-03-28,428857.014868,204528.135885
2022-04-04,429212.597875,176570.042214
2022-04-11,429652.472665,176639.938706
2022-04-18,430068.475440,129073.819026
2022-04-25,426075.899842,129073.819026
2022-05-02,426634.765245,129073.819026
2022-05-09,427193.630647,129073.819026
2022-05-16,427752.496050,129073.819026
2022-05-23,428311.361452,129073.819026
2022-05-30,425043.840416,166189.322393
2022-06-06,425497.995604,166254.191758
2022-06-13,425949.298290,171780.607895
2022-06-20,426389.309451,171854.134875
2022-06-27,426841.139989,171929.238020
2022-07-04,427292.858096,171929.238020
2022-07-11,427744.576203,171929.238020
2022-07-18,428196.294310,171929.238020
2022-07-25,428648.012417,171929.238020
2022-08-01,429099.730524,171929.238020
2022-08-08,429551.448630,171929.238020
2022-08-15,430003.166737,171929.238020
2022-08-22,430454.894824,171929.238020
2022-08-29,430906.622911,171929.238020
2022-09-05,431358.350998,171929.238020
2022-09-12,433538.589764,171929.238020
2022-09-19,434004.247632,171929.238020
2022-09-26,434469.905499,171929.238020
2022-10-03,434940.550873,171929.238020
2022-10-10,435390.561188,123887.810847
2022-10-17,433674.052349,123934.143524
2022-10-24,434623.201755,123987.310337
2022-10-31,435554.189725,124040.493730
2022-11-08,436403.366164,124093.697115
2022-11-15,437278.720633,124146.920490
2022-11-22,441934.335147,124200.163855
2022-11-29,442759.749204,124253.427210
2022-12-06,443534.014066,124306.710555
2022-12-13,444243.001930,124700.658956
2022-12-20,441625.900721,124753.982281
2022-12-27,442780.682334,124807.325596
