date,equity,cash
2007-01-02,350000.000000,350000.000000
2007-01-09,350000.000000,350000.000000
2007-01-16,350000.000000,350000.000000
2007-01-23,350000.000000,350000.000000
2007-01-30,350000.000000,350000.000000
2007-02-06,350000.000000,350000.000000
2007-02-13,350000.000000,350000.000000
2007-02-20,350000.000000,350000.000000
2007-02-27,350000.000000,350000.000000
2007-03-06,350000.000000,350000.000000
2007-03-13,350000.000000,350000.000000
2007-03-20,350000.000000,350000.000000
2007-03-27,350000.000000,350000.000000
2007-04-03,350000.000000,350000.000000
2007-04-10,350000.000000,350000.000000
2007-04-17,350000.000000,350000.000000
2007-04-24,350000.000000,350000.000000
2007-05-01,350000.000000,350000.000000
2007-05-08,350000.000000,350000.000000
2007-05-15,350000.000000,350000.000000
2007-05-22,350000.000000,350000.000000
2007-05-29,350000.000000,350000.000000
2007-06-05,350000.000000,350000.000000
2007-06-12,350000.000000,350000.000000
2007-06-19,350000.000000,350000.000000
2007-06-26,350000.000000,350000.000000
2007-07-03,350000.000000,350000.000000
2007-07-10,350000.000000,350000.000000
2007-07-17,350000.000000,350000.000000
2007-07-24,349957.179953,264317.086470
2007-07-31,349128.553481,294409.274839
2007-08-07,348842.079975,302322.566833
2007-08-14,348887.363545,304793.492715
2007-08-21,348931.045018,305618.043185
2007-08-28,348974.358017,305618.043185
2007-09-04,349017.714188,305618.043185
2007-09-11,349061.113794,305618.043185
2007-09-18,349104.556832,305618.043185
2007-09-25,349148.043302,305618.043185
2007-10-02,349191.573207,305618.043185
2007-10-09,349235.146789,305618.043185
2007-10-16,349278.763806,305618.043185
2007-10-23,349322.424500,305618.043185
2007-10-30,349366.070149,305735.465441
2007-11-06,349409.700738,305735.465441
2007-11-13,349475.066605,305735.465441
2007-11-20,349518.806069,305735.465441
2007-11-27,349562.589357,305735.465441
2007-12-04,349606.416469,305735.465441
2007-12-11,349650.287403,305735.465441
2007-12-18,349694.202405,305735.465441
2007-12-25,349738.161231,305735.465441
2008-01-01,349782.164127,305735.465441
2008-01-08,349826.210846,305735.465441
2008-01-15,349870.301633,305735.465441
2008-01-22,350060.246722,224405.655433
2008-01-29,350739.963175,138724.005506
2008-02-05,342633.290526,102846.724679
2008-02-12,334101.388059,111547.982780
2008-02-19,328323.619887,86434.841534
2008-02-26,319543.936911,89776.240749
2008-03-04,319459.290848,90500.042165
2008-03-11,319388.444647,90761.746650
2008-03-18,319238.494388,90869.078829
2008-03-25,319043.710639,91024.045718
2008-04-01,318794.667581,91131.646381
2008-04-08,318479.102731,91286.923331
2008-04-15,318080.738680,91442.331738
2008-04-22,317577.505377,91705.897184
2008-04-29,316938.795884,91921.984447
2008-05-06,318378.465065,91921.984447
2008-05-13,317129.594605,91921.984447
2008-05-20,316710.688449,97088.631287
2008-05-27,316900.858864,97344.568331
2008-06-03,317091.022484,97449.627396
2008-06-10,317281.305445,97449.627396
2008-06-17,317471.761314,97449.627396
2008-06-24,317662.338295,97555.077786
2008-07-01,317853.035189,97555.077786
2008-07-08,318043.905775,97555.077786
2008-07-15,322154.196757,130502.056852
2008-07-22,325745.063268,118292.236728
2008-07-29,323805.121184,118292.236728
2008-08-05,323704.272022,125118.199160
2008-08-12,323884.838699,125118.199160
2008-08-19,324065.575787,125118.199160
2008-08-26,324246.482134,125118.199160
2008-09-02,324427.559138,125118.199160
2008-09-09,324608.806778,125118.199160
2008-09-16,324790.224689,125118.199160
2008-09-23,327240.175550,125118.199160
2008-09-30,327424.208007,125118.199160
2008-10-07,327608.414581,125118.199160
2008-10-14,327792.794057,125118.199160
2008-10-21,327973.769336,132269.688978
2008-10-28,328150.913947,134305.123913
2008-11-04,328327.656151,134305.123913
2008-11-11,328504.563855,134305.123913
2008-11-18,328681.639052,134305.123913
2008-11-25,328858.881985,134305.123913
2008-12-02,329036.291555,134305.123913
2008-12-09,329213.868877,134305.123913
2008-12-16,329391.613920,134305.123913
2008-12-23,329569.526232,134305.123913
2008-12-30,329747.606868,134305.123913
2009-01-06,329925.855239,134305.123913
2009-01-13,330104.271734,134305.123913
2009-01-20,330282.856553,134305.123913
2009-01-27,330461.609724,134305.123913
2009-02-03,330640.531986,134305.123913
2009-02-10,332432.097833,126015.362079
2009-02-17,329148.596126,126015.362079
2009-02-24,329138.693572,126015.362079
2009-03-03,329106.683482,126015.362079
2009-03-10,329084.464498,126015.362079
2009-03-17,328999.621430,126015.362079
2009-03-24,328877.653865,126015.362079
2009-03-31,328710.139425,126015.362079
2009-04-07,328485.915114,126015.362079
2009-04-14,328189.859716,120317.643176
2009-04-21,324982.526051,120317.643176
2009-04-28,324978.281112,120317.643176
2009-05-05,324952.410852,124643.613238
2009-05-12,325135.347335,124643.613238
2009-05-19,325318.456458,124643.613238
2009-05-26,325501.739562,124643.613238
2009-06-02,325685.195693,124643.613238
2009-06-09,325868.824555,124643.613238
2009-06-16,326052.627060,124643.613238
2009-06-23,326236.603374,124643.613238
2009-06-30,327630.620486,126890.444996
2009-07-07,327804.361802,107392.429656
2009-07-14,327999.273256,92565.761245
2009-07-21,324829.496215,92618.164588
2009-07-28,324847.250256,92672.246864
2009-08-04,324843.475428,92726.355352
2009-08-11,324814.141842,92780.490896
2009-08-18,324754.152425,92834.653507
2009-08-25,324656.969675,92888.843200
2009-09-01,324514.067844,92943.059987
2009-09-08,324314.111016,92997.303882
2009-09-15,324041.694234,87183.484410
2009-09-22,320842.908923,91978.760937
2009-09-29,321048.068343,92033.086240
2009-10-06,321253.392644,92087.438705
2009-10-13,321447.950448,113993.245357
2009-10-20,321634.448809,118537.787799
2009-10-27,321819.287722,119732.137843
2009-11-03,322003.734843,120215.563847
2009-11-10,322188.071553,120398.269341
2009-11-17,323182.256946,126775.535894
2009-11-24,323351.865631,105362.456532
2009-12-01,323548.801160,90818.169051
2009-12-08,320388.112696,90871.537040
2009-12-15,320409.002512,90926.162495
2009-12-22,320408.408905,90980.814646
2009-12-29,320382.308376,91035.494123
