date,equity,cash
2020-01-07,350000.000000,350000.000000
2020-01-14,350000.000000,350000.000000
2020-01-21,350000.000000,350000.000000
2020-01-28,350000.000000,350000.000000
2020-02-04,350000.000000,350000.000000
2020-02-11,350000.000000,350000.000000
2020-02-18,350000.000000,350000.000000
2020-02-25,350000.000000,350000.000000
2020-03-03,350000.000000,350000.000000
2020-03-09,350000.000000,350000.000000
2020-03-16,350000.000000,350000.000000
2020-03-23,350000.000000,350000.000000
2020-03-30,350000.000000,350000.000000
2020-04-06,350000.000000,350000.000000
2020-04-13,350000.000000,350000.000000
2020-04-20,350000.000000,350000.000000
2020-04-27,350000.000000,350000.000000
2020-05-04,350000.000000,350000.000000
2020-05-11,350000.000000,350000.000000
2020-05-18,350000.000000,350000.000000
2020-05-25,350000.000000,350000.000000
2020-06-01,350000.000000,350000.000000
2020-06-08,350000.000000,350000.000000
2020-06-15,350000.000000,350000.000000
2020-06-22,350000.000000,350000.000000
2020-06-29,350000.000000,350000.000000
2020-07-06,350000.000000,350000.000000
2020-07-13,350000.000000,350000.000000
2020-07-20,350000.000000,350000.000000
2020-07-27,349914.293603,178501.500000
2020-08-03,355162.459520,178501.500000
2020-08-10,355641.440030,178501.500000
2020-08-17,356125.468016,178501.500000
2020-08-24,356609.496002,178501.500000
2020-08-31,357093.523988,178501.500000
2020-09-07,357577.551974,178501.500000
2020-09-14,358061.579960,178501.500000
2020-09-21,358545.607946,174283.021890
2020-09-28,357266.689856,174283.021890
2020-10-05,357653.547586,174283.021890
2020-10-12,366398.646597,174283.021890
2020-10-19,367166.407637,174283.021890
2020-10-26,367918.062059,174283.021890
2020-11-03,368600.993106,174283.021890
2020-11-10,369301.283469,174283.021890
2020-11-17,369988.670815,174283.021890
2020-11-24,370635.279243,181718.347708
2020-12-01,371138.037863,181718.347708
2020-12-08,371640.796484,181718.347708
2020-12-15,372148.542611,177205.698564
2020-12-22,377584.486043,177205.698564
2020-12-29,378428.985501,177205.698564
2021-01-05,379261.357888,177205.698564
2021-01-12,380079.349501,177205.698564
2021-01-19,380880.111319,177205.698564
2021-01-26,381659.988536,177205.698564
2021-02-02,382414.214016,177205.698564
2021-02-09,383136.450271,177205.698564
2021-02-16,383818.084817,177393.558847
2021-02-23,381367.664795,177393.558847
2021-03-02,389182.002042,177393.558847
2021-03-09,390191.475423,177393.558847
2021-03-15,391239.733207,177393.558847
2021-03-22,392240.570985,177393.558847
2021-03-29,393210.171420,177393.558847
2021-04-05,394141.555955,177393.558847
2021-04-12,395030.487569,177393.558847
2021-04-19,395859.525643,177393.558847
2021-04-26,396611.440531,183604.380012
2021-05-03,395234.068719,183604.380012
2021-05-10,400571.190299,183604.380012
2021-05-17,401453.330360,183604.380012
2021-05-24,402320.637419,183604.380012
2021-05-31,403170.172865,183604.380012
2021-06-07,403998.166960,183604.380012
2021-06-14,404799.702656,183604.380012
2021-06-21,405568.243174,183604.380012
2021-06-28,406303.540878,183379.680508
2021-07-05,404232.936413,183379.680508
2021-07-12,404673.025987,183379.680508
2021-07-19,407614.606445,183379.680508
2021-07-26,408595.347285,183379.680508
2021-08-02,409551.811876,183379.680508
2021-08-09,410483.838217,183379.680508
2021-08-16,411386.738545,183379.680508
2021-08-23,412266.614518,183379.680508
2021-08-30,413089.283938,183657.673397
2021-09-06,411105.589850,183657.673397
2021-09-13,411575.217071,183657.673397
2021-09-20,412028.206849,183657.673397
2021-09-27,414834.276223,183657.673397
2021-10-04,415803.898638,183657.673397
2021-10-11,416744.868926,183657.673397
2021-10-18,417671.694404,183657.673397
2021-10-25,418554.633031,183657.673397
2021-11-01,419381.869116,189582.578761
2021-11-09,419999.150475,189582.578761
2021-11-16,420616.431835,189582.578761
2021-11-23,421233.713194,184341.751078
2021-11-30,419665.785416,184341.751078
2021-12-07,420175.970464,184341.751078
2021-12-14,420672.071570,184341.751078
2021-12-21,421472.678840,187301.514423
2021-12-28,422108.630864,187301.514423
2022-01-04,422744.582888,187301.514423
2022-01-11,423380.534912,187301.514423
2022-01-18,424016.486936,187301.514423
2022-01-25,424652.438960,187301.514423
2022-02-01,425288.390984,187301.514423
2022-02-08,425924.343008,187301.514423
2022-02-15,418487.690841,334195.533838
2022-02-22,418696.603966,350946.253754
2022-03-01,418857.521777,360452.271186
2022-03-08,418999.882319,364213.421328
2022-03-14,419139.188323,365210.396619
2022-03-21,419185.371413,268476.684893
2022-03-28,419339.197765,198845.960990
2022-04-04,419689.807582,171476.515195
2022-04-11,420122.933635,171546.566302
2022-04-18,420533.294717,126196.087287
2022-04-25,416666.579113,126196.087287
2022-05-02,417213.147889,126196.087287
2022-05-09,417759.716665,126196.087287
2022-05-16,418306.285441,126196.087287
2022-05-23,418852.854217,126196.087287
2022-05-30,415689.326961,161335.709267
2022-06-06,416136.424895,161601.225852
2022-06-13,416580.363158,166852.502689
2022-06-20,417013.565228,166926.104716
2022-06-27,417458.426571,167001.207823
2022-07-04,417903.175484,167001.207823
2022-07-11,418347.924396,167001.207823
2022-07-18,418792.673308,167001.207823
2022-07-25,419237.422220,167001.207823
2022-08-01,419682.171132,167001.207823
2022-08-08,420126.920045,167001.207823
2022-08-15,420571.668957,167001.207823
2022-08-22,421016.427849,167001.207823
2022-08-29,421461.186741,167001.207823
2022-09-05,421905.945634,167001.207823
2022-09-12,424040.705980,167001.207823
2022-09-19,424499.084662,167001.207823
2022-09-26,424957.463344,167001.207823
2022-10-03,425420.829533,167001.207823
2022-10-10,425864.592552,122561.363860
2022-10-17,424169.936963,122608.042168
2022-10-24,424534.105655,122661.208809
2022-10-31,424884.242752,122714.392202
2022-11-08,425482.407918,122767.595587
2022-11-15,426257.567208,122820.818962
2022-11-22,430203.688813,122874.062327
2022-11-29,430941.568582,122927.325682
2022-12-06,431639.938563,122980.609027
2022-12-13,432287.887108,122753.655606
2022-12-20,430165.398257,122806.978931
2022-12-27,430512.278798,122860.322246
